Tweets
"OPINION: Call it the recipe for a perfect market meltdown: 

by @KReyofCoinDesk 

https://t.co/pimVpwzeJB"
"At #Consensus2021, taking place May 24-27, we elevate the conversation around sweeping changes in the global financial landscape with high-profile speakers including @garyvee, @RayDalio and @michael_saylor.

Register: https://t.co/PJg71SnCJ2 https://t.co/x0lNeVZhbu"
"The now public @Coinbase had to husband its resources during the industry’s prosperous times to make it through the lean periods. 

Here’s a full timeline from its @ycombinator days to its multibillion-dollar stock market debut.

https://t.co/gPXoA8fLL7"
".@ParisHilton is now finally letting her Crypto Flag fly.

 “I’ve been into crypto forever,” she tells CoinDesk columnist @jeffwilser. 

https://t.co/2GrsO9vnis"
"“You will see a lot of artists come out of Africa [who] will give @Beeple a run for his money,” @oshomah tells CoinDesk.

https://t.co/1k6S6bXz1h"
"Bitcoin's price fell from $60,000 to just above $50,000 in early trading on Sunday, reflecting a broader drop among most major cryptocurrencies.

@godbole17 reports

https://t.co/dUjLFg8vDx"
"Coinbase insiders and investors sold shares worth billions of dollars in total on the leading cryptocurrency exchange's first day of trading on the Nasdaq earlier this week, according to series of  filings made Friday.

by @KReyofCoinDesk 

https://t.co/YJ2RFjtdp5"
"In tying itself to the ""suits,"" is @Coinbase going to shake up Wall Street or be constrained?

@WSJ's @paulvigna, @NoelleInMadrid, @mikejcasey and @sheila_warren discuss this week's historical listing on the Money Reimagined podcast: https://t.co/1IqYY1qoBb"
"Presenting our speaker: @JCastroS is an adviser to the president of Colombia and was deputy minister of digital economy and CTO of the president's campaign.

Jehudi joins #Consensus2021 as a speaker.

Register for our virtual experience May 24-27: https://t.co/PJg71SnCJ2 https://t.co/leNWIwWPJK"
"Just a few weeks after after raising funds at a reported $2.6 billion valuation, Dapper Labs, responsible for NBA Top Shot, is raising more money but is now being valued at more than $7.5 billion , according to a published report

by @KReyofCoinDesk 

 https://t.co/0JH6mFDpTh"
".@erisx_digital CEO Thomas Chippas' tenure in the space has prepared him to develop a crypto market that looks similar to a traditional commodities market.

He joins #Consensus2021 as a panelist.

Register for our virtual experience May 24-27: https://t.co/PJg71SnCJ2 https://t.co/3yoqM1trlt"
"LIVE: In tying itself to the corporate “suits,” is this @Coinbase going to shake up the Wall Street establishment, or be constrain by it?

@paulvigna of @WSJ, @NoelleInMadrid, @mikejcasey and @sheila_warren discuss on CoinDesk's Money Reimagined: https://t.co/be099dKJBS"
"Coming up on Money Reimagined: @paulvigna of @WSJ, @NoelleInMadrid, @mikejcasey and @sheila_warren break down all the action from @Coinbase's first day of trading on the @Nasdaq, and what this means for the future of investing.

Tune in at 12 p.m. ET on https://t.co/yHMYaDgYoY: https://t.co/5HpxJwwbZE"
"Bitcoin’s price rally leading up to Coinbase’s hotly anticipated trading debut was largely driven by retail traders eager to get in on the action while whales were happy to take their money and swim away, blockchain data shows.

by @godbole17 

https://t.co/WYBJ7nID4g"
"On the surface, it seems as if Peter Thiel is asking U.S. regulators to prevent bitcoin from becoming more of a threat to the U.S. dollar. 

This is the wrong interpretation. 

#WeekendReads
https://t.co/0iQ2CDGZJl"
